,,,,,,,,,,,,,,,,,,,,,,269,# PILIHAN 1,Pilihan 1,,# PILIHAN 2,Pilihan 2,
PROVINSI,KOTA/KABUPATEN,PROVINSI GABUNG,UNIVERSITAS,PROGRAM STUDI,JENJANG,[hidden] concat,"PEMINAT 2024
Kepulauan Riau,Kota Tanjungpinang,"Banten, DKI Jakarta & Jawa Barat",UNIVERSITAS PADJADJARAN,PETERNAKAN PSDKU PANGANDARAN,S1,S1 - PETERNAKAN PSDKU PANGANDARAN UNIVERSITAS PADJADJARAN,55,20,36.36%,81,12,14.81%,550,0,596,"1,873",2005,2004,381,"1,566",1858,NO,,,,,,
Kepulauan Riau,Kota Tanjungpinang,Sulawesi,UNIVERSITAS HASANUDDIN,TEKNIK PERTANIAN,S1,S1 - TEKNIK PERTANIAN UNIVERSITAS HASANUDDIN,169,42,24.85%,251,80,31.87%,550,3,1001,"2,787",2005,868,662,"1,581",1889,NO,,,,,,
Sulawesi Selatan,Kota Makassar,Jawa Tengah & DIY,POLITEKNIK MARITIM NEGERI INDONESIA,TRANSPORTASI LAUT,D4,D4 - TRANSPORTASI LAUT POLITEKNIK MARITIM NEGERI INDONESIA,178,83,46.63%,542,60,11.07%,550,1,-,"1,528",2005,1329,tidak valid,"1,621",1957,NO,,,,,,
Kalimantan Barat,Kab. Sambas,"Banten, DKI Jakarta & Jawa Barat",POLITEKNIK NEGERI MEDIA KREATIF,SENI KULINER,D3,D3 - SENI KULINER POLITEKNIK NEGERI MEDIA KREATIF,197,26,13.20%,471,32,6.79%,550,0,-,912,2005,2004,tidak valid,"1,640",2003,NO,,,,,,
Kalimantan Barat,Kota Pontianak,"Banten, DKI Jakarta & Jawa Barat",UIN SUNAN GUNUNG DJATI,ILMU KOM. KONST. HUMAS,S1,S1 - ILMU KOM. KONST. HUMAS UIN SUNAN GUNUNG DJATI,676,54,7.99%,494,72,14.57%,550,1,-,"1,850",2005,1329,tidak valid,"1,728",2184,NO,,,,,,
Sulawesi Tengah,Kota Palu,Jawa Tengah & DIY,UNIVERSITAS NEGERI SEMARANG,PENDIDIKAN SEJARAH,S1,S1 - PENDIDIKAN SEJARAH UNIVERSITAS NEGERI SEMARANG,359,20,5.57%,249,30,12.05%,550,0,1401,"1,626",2005,2004,1280,"1,729",2186,NO,,,,,,
Kepulauan Riau,Kota Tanjungpinang,"Banten, DKI Jakarta & Jawa Barat",UNIVERSITAS PADJADJARAN,PERIKANAN PSDKU PANGANDARAN,S1,S1 - PERIKANAN PSDKU PANGANDARAN UNIVERSITAS PADJADJARAN,74,35,47.30%,80,21,26.25%,550,0,596,"2,562",2005,2004,381,"1,738",2198,NO,,,,,,
Kepulauan Riau,Kota Tanjungpinang,"Banten, DKI Jakarta & Jawa Barat",UNIVERSITAS SINGAPERBANGSA KARAWANG,ADMINISTRASI RUMAH SAKIT,S1,S1 - ADMINISTRASI RUMAH SAKIT UNIVERSITAS SINGAPERBANGSA KARAWANG,334,30,8.98%,430,40,9.30%,550,0,-,"1,321",2005,2004,tidak valid,"1,777",2270,NO,,,,,,
Lampung,Kota Bandar Lampung,Aceh,UNIVERSITAS SYIAH KUALA,PENDIDIKAN GURU PAUD,S1,S1 - PENDIDIKAN GURU PAUD UNIVERSITAS SYIAH KUALA,327,42,12.84%,311,49,15.76%,550,0,1401,"1,953",2005,2004,1280,"1,811",2326,NO,,,,,,
Lampung,Kota Bandar Lampung,Bali & Nusa Tenggara,UNIVERSITAS NUSA CENDANA,PPKN,S1,S1 - PPKN UNIVERSITAS NUSA CENDANA,476,30,6.30%,511,54,10.57%,550,0,-,"1,472",2005,2004,tidak valid,"1,827",2350,NO,,,,,,
Kep. Bangka Belitung,Kab. Bangka,"Sumsel, Babel, Lampung",UNIVERSITAS SRIWIJAYA,PEND TEKNIK MESIN,S1,S1 - PEND TEKNIK MESIN UNIVERSITAS SRIWIJAYA,75,20,26.67%,115,40,34.78%,550,1,1401,"2,901",2005,1329,1280,"1,879",2432,NO,,,,,,
Lampung,Kab. Lampung Selatan,"Banten, DKI Jakarta & Jawa Barat",UNIVERSITAS SILIWANGI,PENDIDIKAN BAHASA INGGRIS,S1,S1 - PENDIDIKAN BAHASA INGGRIS UNIVERSITAS SILIWANGI,433,47,10.85%,427,116,27.17%,550,1,-,"2,602",2005,1329,tidak valid,"1,979",2609,NO,,,,,,
Kalimantan Barat,Kota Pontianak,Jawa Timur,UNIVERSITAS JEMBER,AGRIBISNIS,S1,S1 - AGRIBISNIS UNIVERSITAS JEMBER,385,54,14.03%,432,72,16.67%,550,0,-,"2,007",2005,2004,tidak valid,"2,005",2742,NO,,,,,,
Lampung,Kota Bandar Lampung,Sumatera Barat,UNIVERSITAS ANDALAS,SEJARAH,S1,S1 - SEJARAH UNIVERSITAS ANDALAS,95,60,63.16%,100,48,48.00%,550,0,1401,"3,277",2005,2004,1280,"2,142",2963,NO,,,,,,
Kalimantan Timur,Kota Samarinda,"Banten, DKI Jakarta & Jawa Barat",ISBI BANDUNG,TARI,S1,S1 - TARI ISBI BANDUNG,97,24,24.74%,93,32,34.41%,550,0,-,"2,885",2005,2004,tidak valid,"2,298",3274,NO,,,,,,
Sulawesi Selatan,Kota Makassar,"Banten, DKI Jakarta & Jawa Barat",UNIVERSITAS SULTAN AGENG TIRTAYASA,STATISTIKA,S1,S1 - STATISTIKA UNIVERSITAS SULTAN AGENG TIRTAYASA,132,20,15.15%,84,44,52.38%,550,0,-,"3,369",2005,2004,tidak valid,"2,459",3500,NO,,,,,,
Sumatera Selatan,Kab. Ogan Ilir,"Banten, DKI Jakarta & Jawa Barat",UNIVERSITAS PADJADJARAN,BAHASA DAN BUDAYA TIONGKOK,D4,D4 - BAHASA DAN BUDAYA TIONGKOK UNIVERSITAS PADJADJARAN,31,25,80.65%,255,15,5.88%,549,1,596,785,2031,1329,381,"1,132",1121,NO,,,,,,
Sulawesi Selatan,Kota Makassar,"Banten, DKI Jakarta & Jawa Barat",UNIVERSITAS PADJADJARAN,ILMU PETERNAKAN,S1,S1 - ILMU PETERNAKAN UNIVERSITAS PADJADJARAN,506,195,38.54%,759,117,15.42%,549,13,596,"1,930",2031,322,381,"1,166",1178,NO,,,,,,
Lampung,Kota Bandar Lampung,Jawa Timur,POLITEKNIK PERKAPALAN NEGERI SURABAYA,TEKNIK KESELAMATAN DAN KESEHATAN KERJA,D4,D4 - TEKNIK KESELAMATAN DAN KESEHATAN KERJA POLITEKNIK PERKAPALAN NEGERI SURABAYA,535,90,16.82%,1716,120,6.99%,549,3,-,952,2031,868,tidak valid,"1,284",1373,NO,,,,,,
Nusa Tenggara Timur,Kota Kupang,Jambi & Bengkulu,UNIVERSITAS JAMBI,PEND. GURU SEKOLAH DASAR,S1,S1 - PEND. GURU SEKOLAH DASAR UNIVERSITAS JAMBI,1096,45,4.11%,910,81,8.90%,549,3,-,"1,270",2031,868,tidak valid,"1,390",1572,NO,,,,,,
Kalimantan Timur,Kota Samarinda,Kalimantan,UNIVERSITAS TANJUNGPURA,PEND. GURU SEKOLAH DASAR (PGSD),S1,S1 - PEND. GURU SEKOLAH DASAR (PGSD) UNIVERSITAS TANJUNGPURA,1183,40,3.38%,1138,72,6.33%,549,1,-,847,2031,1329,tidak valid,"1,402",1589,NO,,,,,,
Lampung,Kota Bandar Lampung,Kalimantan,UNIVERSITAS MULAWARMAN,ILMU PEMERINTAHAN,S1,S1 - ILMU PEMERINTAHAN UNIVERSITAS MULAWARMAN,278,24,8.63%,400,32,8.00%,549,0,1301,"1,124",2031,2004,1128,"1,572",1874,NO,,,,,,
Bali,Kab. Buleleng,Kalimantan,UNIVERSITAS LAMBUNG MANGKURAT,TEKNIK PERTAMBANGAN,S1,S1 - TEKNIK PERTAMBANGAN UNIVERSITAS LAMBUNG MANGKURAT,474,27,5.70%,606,36,5.94%,549,0,-,791,2031,2004,tidak valid,"1,609",1937,NO,,,,,,
Sulawesi Tengah,Kota Palu,Jambi & Bengkulu,UNIVERSITAS JAMBI,PEND. BAHASA INGGRIS,S1,S1 - PEND. BAHASA INGGRIS UNIVERSITAS JAMBI,294,30,10.20%,274,54,19.71%,549,2,-,"2,205",2031,1037,tidak valid,"1,758",2241,NO,,,,,,
Lampung,Kota Bandar Lampung,"Sumsel, Babel, Lampung",INSTITUT TEKNOLOGI SUMATERA,TEKNOLOGI PANGAN,S1,S1 - TEKNOLOGI PANGAN INSTITUT TEKNOLOGI SUMATERA,310,45,14.52%,378,98,25.93%,549,4,-,"2,547",2031,748,tidak valid,"1,775",2265,NO,,,,,,
Sulawesi Barat,Kab. Majene,Sumatera Utara,UNIVERSITAS NEGERI MEDAN,PENDIDIKAN GEOGRAFI,S1,S1 - PENDIDIKAN GEOGRAFI UNIVERSITAS NEGERI MEDAN,473,69,14.59%,327,115,35.17%,549,2,1301,"2,915",2031,1037,1128,"1,778",2274,NO,,,,,,
Lampung,Kota Bandar Lampung,Sumatera Utara,UNIVERSITAS NEGERI MEDAN,PENDIDIKAN BAHASA DAN SASTRA INDONESIA,S1,S1 - PENDIDIKAN BAHASA DAN SASTRA INDONESIA UNIVERSITAS NEGERI MEDAN,958,65,6.78%,825,162,19.64%,549,0,1301,"2,204",2031,2004,1128,"1,842",2373,NO,,,,,,
Lampung,Kota Bandar Lampung,Sumatera Utara,UNIVERSITAS NEGERI MEDAN,PENDIDIKAN SEJARAH,S1,S1 - PENDIDIKAN SEJARAH UNIVERSITAS NEGERI MEDAN,502,69,13.75%,333,115,34.53%,549,1,1301,"2,893",2031,1329,1128,"1,845",2379,NO,,,,,,
Lampung,Kota Bandar Lampung,"Sumsel, Babel, Lampung",UNIVERSITAS LAMPUNG,BIOLOGI,S1,S1 - BIOLOGI UNIVERSITAS LAMPUNG,219,40,18.26%,177,75,42.37%,549,1,1401,"3,139",2031,1329,1280,"1,945",2548,NO,,,,,,
Sulawesi Selatan,Kota Makassar,Jawa Timur,UNIVERSITAS NEGERI SURABAYA,PENDIDIKAN BAHASA JERMAN,S1,S1 - PENDIDIKAN BAHASA JERMAN UNIVERSITAS NEGERI SURABAYA,63,30,47.62%,70,45,64.29%,549,1,1401,"3,582",2031,1329,1280,"2,056",2835,NO,,,,,,
Kalimantan Timur,Kota Balikpapan,Jawa Timur,UIN MALANG,FARMASI,S1,S1 - FARMASI UIN MALANG,857,80,9.33%,838,160,19.09%,549,0,-,"2,165",2031,2004,tidak valid,"2,067",2857,NO,,,,,,
Sulawesi Utara,Kota Manado,Jawa Timur,UNIVERSITAS NEGERI MALANG,FISIKA,S1,S1 - FISIKA UNIVERSITAS NEGERI MALANG,94,65,69.15%,149,65,43.62%,549,0,1401,"3,176",2031,2004,1280,"2,123",2930,NO,,,,,,
Lampung,Kota Bandar Lampung,"Banten, DKI Jakarta & Jawa Barat",UIN JAKARTA,KIMIA,S1,S1 - KIMIA UIN JAKARTA,124,37,29.84%,119,62,52.10%,549,1,-,"3,364",2031,1329,tidak valid,"2,241",3172,NO,,,,,,
Kalimantan Tengah,Kota Palangka Raya,Kalimantan,UNIVERSITAS TANJUNGPURA,PEND. EKONOMI,S1,S1 - PEND. EKONOMI UNIVERSITAS TANJUNGPURA,145,26,17.93%,113,48,42.48%,549,0,-,"3,143",2031,2004,tidak valid,"2,393",3408,NO,,,,,,
Lampung,Kota Bandar Lampung,"Banten, DKI Jakarta & Jawa Barat",UNIVERSITAS SULTAN AGENG TIRTAYASA,PENDIDIKAN PANCASILA DAN KEWARGANEGARAAN,S1,S1 - PENDIDIKAN PANCASILA DAN KEWARGANEGARAAN UNIVERSITAS SULTAN AGENG TIRTAYASA,208,37,17.79%,141,83,58.87%,549,0,-,"3,493",2031,2004,tidak valid,"2,509",3578,NO,,,,,,
Lampung,Kota Bandar Lampung,Kalimantan,UNIVERSITAS PALANGKARAYA,ARSITEKTUR,S1,S1 - ARSITEKTUR UNIVERSITAS PALANGKARAYA,53,24,45.28%,46,32,69.57%,549,0,-,"3,662",2031,2004,tidak valid,"2,566",3658,NO,,,,,,
Lampung,Kota Bandar Lampung,Maluku & Papua,UNIVERSITAS CENDERAWASIH,TEKNIK ELEKTRO,S1,S1 - TEKNIK ELEKTRO UNIVERSITAS CENDERAWASIH,28,13,46.43%,25,23,92.00%,549,0,-,"3,922",2031,2004,tidak valid,"2,652",3789,NO,,,,,,
Lampung,Kab. Lampung Selatan,Jawa Timur,INSTITUT TEKNOLOGI SEPULUH NOPEMBER,TEKNOLOGI REKAYASA KONVERSI ENERGI,D4,D4 - TEKNOLOGI REKAYASA KONVERSI ENERGI INSTITUT TEKNOLOGI SEPULUH NOPEMBER,86,23,26.74%,505,36,7.13%,548,3,585,966,2052,868,325,"1,053",996,NO,,,,,,
Lampung,Kab. Lampung Selatan,Kalimantan,UNIVERSITAS MULAWARMAN,ADMINISTRASI PUBLIK,S1,S1 - ADMINISTRASI PUBLIK UNIVERSITAS MULAWARMAN,428,24,5.61%,512,32,6.25%,548,1,1301,839,2052,1329,1128,"1,337",1489,NO,,,,,,
Sulawesi Tenggara,Kota Kendari,"Banten, DKI Jakarta & Jawa Barat",UNIVERSITAS SILIWANGI,KESEHATAN MASYARAKAT,S1,S1 - KESEHATAN MASYARAKAT UNIVERSITAS SILIWANGI,920,42,4.57%,898,105,11.69%,548,5,-,"1,589",2052,647,tidak valid,"1,429",1633,NO,,,,,,
Lampung,Kota Bandar Lampung,Sumatera Utara,POLITEKNIK NEGERI MEDAN,KEUANGAN DAN PERBANKAN,D3,D3 - KEUANGAN DAN PERBANKAN POLITEKNIK NEGERI MEDAN,342,79,23.10%,2242,90,4.01%,548,0,-,460,2052,2004,tidak valid,"1,505",1741,NO,,,,,,
Kalimantan Barat,Kota Pontianak,Jawa Timur,UNIVERSITAS JEMBER,TEKNIK MESIN,S1,S1 - TEKNIK MESIN UNIVERSITAS JEMBER,221,42,19.00%,361,56,15.51%,548,2,-,"1,936",2052,1037,tidak valid,"1,675",2091,NO,,,,,,
Lampung,Kota Bandar Lampung,Aceh,UNIVERSITAS SYIAH KUALA,EKONOMI ISLAM,S1,S1 - EKONOMI ISLAM UNIVERSITAS SYIAH KUALA,265,48,18.11%,321,56,17.45%,548,1,1401,"2,064",2052,1329,1280,"1,681",2103,NO,,,,,,
Lampung,Kab. Lampung Selatan,Riau & Kepri,UNIVERSITAS RIAU,ILMU KELAUTAN,S1,S1 - ILMU KELAUTAN UNIVERSITAS RIAU,162,42,25.93%,173,56,32.37%,548,1,1401,"2,810",2052,1329,1280,"1,868",2419,NO,,,,,,
Lampung,Kota Bandar Lampung,Jawa Tengah & DIY,UNIVERSITAS TIDAR,AGROTEKNOLOGI,S1,S1 - AGROTEKNOLOGI UNIVERSITAS TIDAR,264,45,17.05%,280,75,26.79%,548,1,-,"2,585",2052,1329,tidak valid,"1,989",2625,NO,,,,,,
Lampung,Kota Bandar Lampung,"Banten, DKI Jakarta & Jawa Barat",UIN JAKARTA,ILMU HUKUM,S1,S1 - ILMU HUKUM UIN JAKARTA,509,39,7.66%,623,96,15.41%,548,0,-,"1,928",2052,2004,tidak valid,"1,995",2635,NO,,,,,,
Lampung,Kota Bandar Lampung,Bali & Nusa Tenggara,UNIVERSITAS NUSA CENDANA,PEND. ANAK USIA DINI,S1,S1 - PEND. ANAK USIA DINI UNIVERSITAS NUSA CENDANA,191,20,10.47%,165,36,21.82%,548,0,-,"2,322",2052,2004,tidak valid,"2,126",2939,NO,,,,,,
Lampung,Kota Bandar Lampung,Kalimantan,UNIVERSITAS MULAWARMAN,BIOLOGI,S1,S1 - BIOLOGI UNIVERSITAS MULAWARMAN,47,24,51.06%,47,40,85.11%,548,0,1301,"3,853",2052,2004,1128,"2,259",3199,NO,,,,,,
Lampung,Kota Bandar Lampung,Kalimantan,UNIVERSITAS BORNEO TARAKAN,TEKNIK MESIN,S1,S1 - TEKNIK MESIN UNIVERSITAS BORNEO TARAKAN,57,12,21.05%,53,18,33.96%,548,0,-,"2,869",2052,2004,tidak valid,"2,308",3292,NO,,,,,,
Kep. Bangka Belitung,Kab. Bangka,Jambi & Bengkulu,UNIVERSITAS BENGKULU,STATISTIKA,S1,S1 - STATISTIKA UNIVERSITAS BENGKULU,89,32,35.96%,76,40,52.63%,548,0,-,"3,374",2052,2004,tidak valid,"2,477",3523,NO,,,,,,
Kalimantan Timur,Kota Samarinda,Kalimantan,UNIVERSITAS TANJUNGPURA,PETERNAKAN,S1,S1 - PETERNAKAN UNIVERSITAS TANJUNGPURA,45,12,26.67%,57,30,52.63%,548,0,-,"3,374",2052,2004,tidak valid,"2,477",3523,NO,,,,,,
Lampung,Kota Bandar Lampung,Kalimantan,UNIVERSITAS TANJUNGPURA,ILMU TANAH,S1,S1 - ILMU TANAH UNIVERSITAS TANJUNGPURA,68,24,35.29%,98,60,61.22%,548,0,-,"3,532",2052,2004,tidak valid,"2,529",3605,NO,,,,,,
Kalimantan Selatan,Kota Banjarmasin,Kalimantan,UNIVERSITAS TANJUNGPURA,ILMU KELAUTAN,S1,S1 - ILMU KELAUTAN UNIVERSITAS TANJUNGPURA,43,28,65.12%,38,36,94.74%,548,0,-,"3,954",2052,2004,tidak valid,"2,670",3823,NO,,,,,,
Kalimantan Selatan,Kota Banjarmasin,Jawa Timur,UNIVERSITAS NEGERI SURABAYA,PENDIDIKAN GURU SEKOLAH DASAR,S1,S1 - PENDIDIKAN GURU SEKOLAH DASAR UNIVERSITAS NEGERI SURABAYA,1682,120,7.13%,1945,145,7.46%,547,29,1401,"1,031",2068,158,1280,"1,134",1125,NO,,,,,,
Lampung,Kota Bandar Lampung,Sumatera Utara,UNIVERSITAS SUMATERA UTARA,BAHASA INGGRIS,D3,D3 - BAHASA INGGRIS UNIVERSITAS SUMATERA UTARA,87,40,45.98%,1078,40,3.71%,547,0,1201,395,2068,2004,843,"1,328",1459,NO,,,,,,
Kep. Bangka Belitung,Kab. Bangka,Aceh,UNIVERSITAS SYIAH KUALA,TEKNIK SIPIL,S1,S1 - TEKNIK SIPIL UNIVERSITAS SYIAH KUALA,525,84,16.00%,606,98,16.17%,547,2,1401,"1,981",2068,1037,1280,"1,592",1905,NO,,,,,,
Lampung,Kota Bandar Lampung,Jawa Timur,UNIVERSITAS BRAWIJAYA,AGRIBISNIS (PSDKU KEDIRI),S1,S1 - AGRIBISNIS (PSDKU KEDIRI) UNIVERSITAS BRAWIJAYA,222,28,12.61%,292,42,14.38%,547,0,801,"1,839",2068,2004,521,"1,608",1936,NO,,,,,,
Kalimantan Timur,Kota Balikpapan,"Banten, DKI Jakarta & Jawa Barat",UNIVERSITAS PENDIDIKAN INDONESIA,PENDIDIKAN ILMU PENGETAHUAN ALAM,S1,S1 - PENDIDIKAN ILMU PENGETAHUAN ALAM UNIVERSITAS PENDIDIKAN INDONESIA,159,11,6.92%,139,11,7.91%,547,0,1401,"1,115",2068,2004,1280,"1,617",1948,NO,,,,,,
Lampung,Kota Bandar Lampung,Sulawesi,UNIVERSITAS SAM RATULANGI,ILMU KESEHATAN MASYARAKAT,S1,S1 - ILMU KESEHATAN MASYARAKAT UNIVERSITAS SAM RATULANGI,508,55,10.83%,510,138,27.06%,547,2,1201,"2,597",2068,1037,843,"1,636",1993,NO,,,,,,
Lampung,Kota Bandar Lampung,"Sumsel, Babel, Lampung",UNIVERSITAS BANGKA BELITUNG,TEKNIK PERTAMBANGAN,S1,S1 - TEKNIK PERTAMBANGAN UNIVERSITAS BANGKA BELITUNG,170,32,18.82%,213,32,15.02%,547,1,-,"1,887",2068,1329,tidak valid,"1,761",2248,NO,,,,,,
Sulawesi Utara,Kota Manado,Kalimantan,UNIVERSITAS LAMBUNG MANGKURAT,ADMINISTRASI PUBLIK,S1,S1 - ADMINISTRASI PUBLIK UNIVERSITAS LAMBUNG MANGKURAT,555,30,5.41%,624,75,12.02%,547,0,-,"1,624",2068,2004,tidak valid,"1,899",2471,NO,,,,,,
Kalimantan Timur,Kota Samarinda,Jawa Timur,UNIVERSITAS JEMBER,BIOLOGI,S1,S1 - BIOLOGI UNIVERSITAS JEMBER,165,41,24.85%,225,54,24.00%,547,1,-,"2,445",2068,1329,tidak valid,"1,947",2551,NO,,,,,,
Kalimantan Timur,Kota Balikpapan,Kalimantan,INSTITUT TEKNOLOGI KALIMANTAN,REKAYASA KESELAMATAN,S1,S1 - REKAYASA KESELAMATAN INSTITUT TEKNOLOGI KALIMANTAN,351,25,7.12%,411,70,17.03%,547,0,-,"2,037",2068,2004,tidak valid,"2,036",2800,NO,,,,,,
Sulawesi Selatan,Kota Makassar,Jambi & Bengkulu,UNIVERSITAS JAMBI,TEKNIK PERTANIAN,S1,S1 - TEKNIK PERTANIAN UNIVERSITAS JAMBI,139,20,14.39%,151,36,23.84%,547,0,-,"2,436",2068,2004,tidak valid,"2,169",3024,NO,,,,,,
Bali,Kab. Buleleng,Jambi & Bengkulu,UNIVERSITAS BENGKULU,AGRIBISNIS,S1,S1 - AGRIBISNIS UNIVERSITAS BENGKULU,206,39,18.93%,254,65,25.59%,547,0,-,"2,522",2068,2004,tidak valid,"2,198",3087,NO,,,,,,
Lampung,Kota Bandar Lampung,Kalimantan,UNIVERSITAS LAMBUNG MANGKURAT,KIMIA,S1,S1 - KIMIA UNIVERSITAS LAMBUNG MANGKURAT,43,15,34.88%,30,30,100.00%,547,0,-,"3,990",2068,2004,tidak valid,"2,687",3847,NO,,,,,,
Bali,Kab. Badung,Bali & Nusa Tenggara,UNIVERSITAS PENDIDIKAN GANESHA,PENDIDIKAN SOSIOLOGI,S1,S1 - PENDIDIKAN SOSIOLOGI UNIVERSITAS PENDIDIKAN GANESHA,79,66,83.54%,44,83,188.64%,547,0,-,"4,384",2068,2004,tidak valid,"2,819",4059,NO,,,,,,
Sulawesi Utara,Kota Manado,Bali & Nusa Tenggara,UNIVERSITAS PENDIDIKAN GANESHA,PENDIDIKAN GEOGRAFI,S1,S1 - PENDIDIKAN GEOGRAFI UNIVERSITAS PENDIDIKAN GANESHA,40,58,145.00%,23,73,317.39%,547,0,-,"4,551",2068,2004,tidak valid,"2,874",4140,NO,,,,,,
Kalimantan Barat,Kota Pontianak,Sulawesi,UNIVERSITAS HASANUDDIN,TEKNOLOGI METALURGI EKSTRAKSI,D4,D4 - TEKNOLOGI METALURGI EKSTRAKSI UNIVERSITAS HASANUDDIN,0,18,No Data,407,22,5.41%,546,1,1001,707,2083,1329,662,"1,195",1230,NO,,,,,,
Lampung,Kab. Lampung Selatan,Sumatera Barat,UNIVERSITAS NEGERI PADANG,ADMINISTRASI PENDIDIKAN,S1,S1 - ADMINISTRASI PENDIDIKAN UNIVERSITAS NEGERI PADANG,539,72,13.36%,604,96,15.89%,546,0,1401,"1,964",2083,2004,1280,"1,833",2359,NO,,,,,,
Kep. Bangka Belitung,Kab. Bangka,Jawa Timur,UNIVERSITAS NEGERI MALANG,ILMU SEJARAH,S1,S1 - ILMU SEJARAH UNIVERSITAS NEGERI MALANG,140,25,17.86%,186,30,16.13%,546,0,1401,"1,978",2083,2004,1280,"1,836",2362,NO,,,,,,
Bali,Kab. Badung,"Sumsel, Babel, Lampung",UNIVERSITAS BANGKA BELITUNG,MANAJEMEN,S1,S1 - MANAJEMEN UNIVERSITAS BANGKA BELITUNG,623,63,10.11%,374,112,29.95%,546,4,-,"2,709",2083,748,tidak valid,"1,847",2382,NO,,,,,,
Kalimantan Selatan,Kota Banjarmasin,"Sumsel, Babel, Lampung",UNIVERSITAS LAMPUNG,PETERNAKAN,S1,S1 - PETERNAKAN UNIVERSITAS LAMPUNG,166,25,15.06%,213,65,30.52%,546,1,1401,"2,736",2083,1329,1280,"1,857",2400,NO,,,,,,
Lampung,Kota Bandar Lampung,"Banten, DKI Jakarta & Jawa Barat",UNIVERSITAS SINGAPERBANGSA KARAWANG,TEKNIK SIPIL,S1,S1 - TEKNIK SIPIL UNIVERSITAS SINGAPERBANGSA KARAWANG,137,23,16.79%,238,30,12.61%,546,0,-,"1,680",2083,2004,tidak valid,"1,922",2517,NO,,,,,,
Lampung,Kota Bandar Lampung,"Banten, DKI Jakarta & Jawa Barat",UNIVERSITAS PENDIDIKAN INDONESIA,PENDIDIKAN BAHASA JERMAN,S1,S1 - PENDIDIKAN BAHASA JERMAN UNIVERSITAS PENDIDIKAN INDONESIA,138,32,23.19%,145,32,22.07%,546,0,1401,"2,336",2083,2004,1280,"1,926",2523,NO,,,,,,
Lampung,Kota Bandar Lampung,Kalimantan,UNIVERSITAS MULAWARMAN,ILMU KELAUTAN,S1,S1 - ILMU KELAUTAN UNIVERSITAS MULAWARMAN,48,18,37.50%,57,24,42.11%,546,0,1301,"3,131",2083,2004,1128,"2,087",2881,NO,,,,,,
Lampung,Kota Bandar Lampung,Kalimantan,UNIVERSITAS MULAWARMAN,PENDIDIKAN MATEMATIKA,S1,S1 - PENDIDIKAN MATEMATIKA UNIVERSITAS MULAWARMAN,98,24,24.49%,69,32,46.38%,546,0,1301,"3,234",2083,2004,1128,"2,112",2911,NO,,,,,,
Kalimantan Tengah,Kota Palangka Raya,Kalimantan,UNIVERSITAS TANJUNGPURA,KEHUTANAN,S1,S1 - KEHUTANAN UNIVERSITAS TANJUNGPURA,411,156,37.96%,399,208,52.13%,546,1,-,"3,365",2083,1329,tidak valid,"2,259",3198,NO,,,,,,
Lampung,Kota Bandar Lampung,"Banten, DKI Jakarta & Jawa Barat",UNIVERSITAS SULTAN AGENG TIRTAYASA,PENDIDIKAN KIMIA,S1,S1 - PENDIDIKAN KIMIA UNIVERSITAS SULTAN AGENG TIRTAYASA,154,45,29.22%,126,99,78.57%,546,0,-,"3,779",2083,2004,tidak valid,"2,622",3745,NO,,,,,,
Sulawesi Selatan,Kota Makassar,Kalimantan,UNIVERSITAS TANJUNGPURA,FISIKA,S1,S1 - FISIKA UNIVERSITAS TANJUNGPURA,24,28,116.67%,22,28,127.27%,546,0,-,"4,170",2083,2004,tidak valid,"2,752",3959,NO,,,,,,
Kalimantan Barat,Kab. Sambas,Jawa Timur,UNIVERSITAS TRUNOJOYO MADURA,MANAJEMEN SUMBERDAYA PERAIRAN,S1,S1 - MANAJEMEN SUMBERDAYA PERAIRAN UNIVERSITAS TRUNOJOYO MADURA,36,60,166.67%,35,60,171.43%,546,0,-,"4,343",2083,2004,tidak valid,"2,810",4047,NO,,,,,,
Lampung,Kota Bandar Lampung,Maluku & Papua,UNIVERSITAS CENDERAWASIH,TEKNIK MESIN,S1,S1 - TEKNIK MESIN UNIVERSITAS CENDERAWASIH,16,13,81.25%,4,23,575.00%,546,0,-,"4,654",2083,2004,tidak valid,"2,914",4178,NO,,,,,,
Lampung,Kota Bandar Lampung,Jawa Tengah & DIY,UNIVERSITAS DIPONEGORO,ILMU KELAUTAN,S1,S1 - ILMU KELAUTAN UNIVERSITAS DIPONEGORO,289,38,13.15%,453,62,13.69%,545,2,721,"1,792",2097,1037,453,"1,345",1511,NO,,,,,,
Lampung,Kab. Lampung Selatan,Sulawesi,UNIVERSITAS NEGERI MAKASSAR,ADMINISTRASI NEGARA,S1,S1 - ADMINISTRASI NEGARA UNIVERSITAS NEGERI MAKASSAR,651,46,7.07%,701,64,9.13%,545,1,1201,"1,298",2097,1329,843,"1,392",1575,NO,,,,,,
Lampung,Kota Bandar Lampung,Jawa Timur,UNIVERSITAS NEGERI SURABAYA,PENDIDIKAN BIOLOGI,S1,S1 - PENDIDIKAN BIOLOGI UNIVERSITAS NEGERI SURABAYA,458,70,15.28%,505,120,23.76%,545,9,1401,"2,432",2097,419,1280,"1,557",1835,NO,,,,,,
Nusa Tenggara Timur,Kota Kupang,Kalimantan,UNIVERSITAS MULAWARMAN,GIZI,S1,S1 - GIZI UNIVERSITAS MULAWARMAN,252,25,9.92%,310,50,16.13%,545,1,1301,"1,978",2097,1329,1128,"1,633",1987,NO,,,,,,
